trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.5, 'e': 0.3166367693790533}",20,0,-66.05367107287461,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,11,13.975032765218856,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,2,-70.17979538666047,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,17,-30.519215310243254,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",30,0,-9.097077314453292,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,6,-45.0528169880608,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,0,-6.6094978960448,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,11,7.195307474671724,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",30,18,-35.17183565856904,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",30,12,33.74571399841175,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,14,0.5708791089185139,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,5,-34.17137833386283,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",30,20,-3.1201973207977427,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,16,16.85647336103743,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,20,8.799371510772382,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,0,-65.02463686415567,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",25,6,11.928551468469509,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",30,8,39.76272679471472,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,12,-54.34318099893055,"{0: 9, 1: 0, 2: 1, 3: 3, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",20,12,-25.84635945377457,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,4,-18.14690503586006,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,0,-31.346327079888695,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,0,-32.3963382139189,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.2515785530597565}",20,0,12.906863708803812,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.24907530463166822}",25,16,5.939690019939631,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2465969639416065}",35,21,-26.929269519896422,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,0,29.94451104984168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,10,6.43346840507197,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",35,18,18.610430499444238,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,0,-50.01466849488856,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,10,-36.63824576623903,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,14,-2.9848787352517823,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,8,-22.341535170596014,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,0,12.394997530169174,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",25,17,13.85509727862834,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,-43.908928389302055,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,14,-2.5780641468913807,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,5,5.6412309889351135,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,0,9.374338575912843,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,0,1.7493014360766148,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,0,-12.25374038051244,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,7,8.12297544356483,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",30,18,22.22779632606191,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,7,-12.720317174373871,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",25,15,17.150546570369844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,3,-30.269062851784376,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,9,18.78591012420155,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,12,-0.10424236986958135,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19592957412690937}",20,0,-0.2590483385721023,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.1939800422908919}",20,16,7.787205811888655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075413}",25,8,22.670424640124633,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.19013898010152055}",25,15,15.491988468374593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,6,18.527593395436227,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",30,4,11.468360051620182,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",30,21,20.64671265637203,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,17,15.466167880559432,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,16,9.572506168135488,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,13,2.9207367038901184,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,9,16.457810903749657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,6,-19.79340426541468,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,9,25.378471987011544,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,1,-42.02015644944728,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,0,-22.415670513158297,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,6,29.092034632452464,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.1669601696670407}",25,0,29.190534417551714,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,0,-35.47168553399442,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.16365413680270405}",25,7,21.174009717083248,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
